rank,title,artist
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2,TOMBOY,(여자)아이들
3,LOVE DIVE,IVE (아이브)
4,Feel My Rhythm,Red Velvet (레드벨벳)
5,사랑인가 봐,멜로망스 (MeloMance)
6,GANADARA (Feat. 아이유),박재범
7,취중고백,김민석 (멜로망스)
8,듣고 싶을까,MSG워너비 (M.O.M)
9,사랑은 늘 도망가,임영웅
10,INVU,태연 (TAEYEON)
11,다정히 내 이름을 부르면,경서예지 & 전건호
12,어제처럼,폴킴
13,신호등,이무진
14,abcdefu,GAYLE
15,ELEVEN,IVE (아이브)
16,Stay,The Kid LAROI & Justin Bieber
17,"스물다섯, 스물하나",자우림
18,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo
19,이제 나만 믿어요,임영웅
20,언제나 사랑해,케이시 (Kassy)
21,LOVE me,BE'O (비오)
22,strawberry moon,아이유 (IU)
23,고백,멜로망스 (MeloMance)
24,RUN2U,STAYC (스테이씨)
25,Stronger (What Doesn't Kill You),Kelly Clarkson
26,다시 사랑한다면 (김필 Ver.),임영웅
27,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오)
28,바라만 본다,MSG워너비 (M.O.M)
29,별빛 같은 나의 사랑아,임영웅
30,Next Level,aespa
31,호랑수월가,탑현
32,SMILEY (Feat. BIBI),YENA (최예나)
33,Bad Habits,Ed Sheeran
34,너를 생각해,주시크 (Joosiq)
35,라일락,아이유 (IU)
36,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
37,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO
38,너의 번호를 누르고,김나영
39,그대라는 사치,임영웅
40,잊었니,임영웅
41,내가 아니라도,주호
42,끝사랑,임영웅
43,MY BAG,(여자)아이들
44,Weekend,태연 (TAEYEON)
45,HERO,임영웅
46,존재만으로,원슈타인
47,서랍,10CM
48,Step Back,GOT the beat
49,Dynamite,방탄소년단
50,Counting Stars (Feat. Beenzino),BE'O (비오)
51,Bk Love,임영웅
52,Tiny Riot,Sam Ryder
53,Blueming,아이유 (IU)
54,Celebrity,아이유 (IU)
55,드라마,아이유 (IU)
56,너의 모든 순간,성시경
57,문득,BE'O (비오)
58,My Universe,Coldplay & 방탄소년단
59,2002,Anne-Marie
60,Butter,방탄소년단
61,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub)
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
63,눈이 오잖아 (Feat. 헤이즈),이무진
64,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU)
65,Off My Face,Justin Bieber
66,봄 사랑 벚꽃 말고,HIGH4 & 아이유
67,비가 오는 날엔 (2021),헤이즈 (Heize)
68,헤픈 우연,헤이즈 (Heize)
69,Real Love,오마이걸 (OH MY GIRL)
70,벚꽃 엔딩,버스커 버스커 (Busker Busker)
71,Starlight,태일 (TAEIL)
72,내 손을 잡아,아이유 (IU)
73,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들
74,밤하늘의 별을 (2020),경서
75,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식 (Basick)
76,Permission to Dance,방탄소년단
77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub)
78,Savage,aespa
79,낙하 (With 아이유),AKMU (악뮤)
80,친구라도 될 걸 그랬어,HYNN (박혜원)
81,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
82,겨울잠,아이유 (IU)
83,버퍼링 (Glitch Mode),NCT DREAM
84,계단말고 엘리베이터,임영웅
85,노래 (The Song),비투비
86,나는 트로트가 싫어요,임창정
87,DAYDREAM,하이라이트 (Highlight)
88,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH)
89,벚꽃이 피면 우리 그만 헤어져,벤
90,At My Worst,Pink Sweat$
91,Dreams Come True,aespa
92,롤린 (Rollin'),브레이브걸스 (Brave girls)
93,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
94,잊을 수 있을까,노을
95,Because Of You,Ne-Yo
96,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta
97,아무래도 난,주시크 (Joosiq)
98,Giveon),Justin Bieber
99,우리가 헤어져야 했던 이유,비비 (BIBI)
100,어떻게 지내 (Prod. by VAN.C),오반
101,금요일에 만나요 (Feat. 장이정 of HISTORY),아이유 (IU)
102,너의 번호를 누르고 (Prod. by 영화처럼),#안녕
103,오래된 노래,Standing Egg (스탠딩 에그)
104,우연히 봄,로꼬 & 유주 (YUJU)
105,흰눈,먼데이 키즈 (Monday Kiz)
106,Dun Dun Dance,오마이걸 (OH MY GIRL)
107,12 : 45 (Stripped),etham
108,비와 당신,이무진
109,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단
110,늦은 밤 너의 집 앞 골목길에서,노을
111,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스 (MeloMance)
112,Loving You Girl (Feat. Hkeem),Peder Elias
113,밝게 빛나는 별이 되어 비춰줄게,송이한
114,Can't Control Myself,태연 (TAEYEON)
115,찾았다 내 사랑,V.O.S
116,아로하,조정석
117,추억은 만남보다 이별에 남아,정동하
118,있잖아,폴킴
119,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
120,봄날,방탄소년단
121,Memories,Maroon 5
122,Timeless,SG워너비
123,취기를 빌려 (취향저격 그녀 X 산들),산들
124,ZOOM,제시
125,그녀를 찾아주세요,윤민수(바이브)
126,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will)
127,parachute,John K
128,사랑인가 봐 (Acoustic Ver.),김세정
129,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student
130,만개 (Prod. 신지후),김호중
131,Wake Up (Prod. by 코드 쿤스트),개코 & 아우릴고트 (OUREALGOAT) & SINCE & 안병웅 & Tabber & 조광일
132,그날에 나는 맘이 편했을까,이예준
133,METEOR,창모 (CHANGMO)
134,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
135,Bad,Christopher
136,밤편지,아이유 (IU)
137,대낮에 한 이별,선예 & 임슬옹
138,Kiss Me More (Feat. SZA),Doja Cat
139,나보다 더 사랑해요,김호중
140,잠이 오질 않네요,장범준
141,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코)
142,마음을 드려요,아이유 (IU)
143,That's Hilarious,Charlie Puth
144,첫눈처럼 너에게 가겠다,에일리 (Ailee)
145,With,김태리 & 남주혁 & 보나 (우주소녀) & 최현욱 & 이주명
146,Dance Monkey,Tones And I
147,꽃 길,BIGBANG (빅뱅)
148,주저하는 연인들을 위해,잔나비
149,Way Back Home,숀 (SHAUN)
150,O.O,NMIXX
151,멜로디,ASH ISLAND
152,좋아좋아,조정석
153,북극성 (Never Goodbye),NCT DREAM
154,안녕,폴킴
155,Lovesick Girls,BLACKPINK
156,너에게 못했던 내 마지막 말은,다비치
157,Paris In The Rain,Lauv
158,Shape Of You,Ed Sheeran
159,하루만 더,빅마마 (Big Mama)
160,Every Second,Mina Okabe
161,Christmas Tree,V
162,시작,가호 (Gaho)
163,사랑인걸,한동근
164,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오)
165,ASAP,STAYC (스테이씨)
166,우리의 이야기,멜로망스 (MeloMance)
167,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student
168,운전만해 (We Ride),브레이브걸스 (Brave girls)
169,선물,멜로망스 (MeloMance)
170,썸 (Feat. 긱스 릴보이),소유 (SOYOU) & 정기고
171,이별후회,김나영
172,서툰 이별을 하려해 (Feat. 전상근),윤토벤 (YounToven)
173,사실 나는 (Feat. 전건호),경서예지
174,어푸 (Ah puh),아이유 (IU)
175,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
176,"아주, 천천히",비비 (BIBI)
177,Light Switch,Charlie Puth
178,희재,성시경
179,처음부터 너와 나,볼빨간사춘기
180,고맙소,김호중
181,살았소,김호중
182,Queendom,Red Velvet (레드벨벳)
183,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지
184,부럽지가 않어,장기하
185,"너, 너",스트레이 (The Stray)
186,Ashes,Stellar
187,Arcade,NCT DREAM
188,Don't Start Now,Dua Lipa
189,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic
190,우산이 없어요,김호중
191,꽃 (With 김민석 of 멜로망스),박봄 (Park Bom)
192,너를 만나,폴킴
193,사랑하게 될 줄 알았어,전미도
194,퇴근길,김호중
195,그대라는 시,태연 (TAEYEON)
196,Love Blossom (러브블러썸),케이윌 (K.Will)
197,미니카 (Drive),NCT DREAM
198,어른,Sondia
199,너를 위한 단어 (It's Yours),NCT DREAM
200,소주 한 잔,양다일
